Date received,Product,Sub-product,Issue,Sub-issue,Consumer Complaint,Company Public Response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date Sent to Company,Company Response to Consumer,Timely response?,Consumer disputed?,Complaint ID
6/24/14,Bank account or service,Checking account,"Account opening, closing, or management",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",CA,90701,,N/A,Web,6/24/14,Closed with monetary relief,Yes,No,908647
04/08/2017,Student loan,Non-federal student loan,Dealing with my lender or servicer,Having problems with customer service,"My first original complaint stated o XX/XX/2017 : We obtained a student loan for our daughter several years ago with the XXXX. The loan is nearly paid off and only has a balance of {$1900.00}. On XX/XX/XXXX we went to our Credit Union and obtained a loan to payoff XXXX. The funds were mailed to the P.O. Box my daughter had sent all her prior payments to in XXXX, Utah. The XXXX. XXXX is XXXX XXXX, Utah XXXX. I kept a close eye on the XXXX website. After a week or so, I called XXXX and was told that the check was probably in their system and should clear soon. I gave it a week or more knowing that the XXXX loan still showed now delinquent. I called XXXX again and was told to gibe it a little longer and it should be applied to payoff the balance. I dug deeper into the mailing process and discovered that payments generally go to XXXX CO. The XXXX. XXXX is XXXX XXXX CO. XXXX, so I had my Credit Union put a stop payment on the check and reissue to XXXX and was sent to the XXXX CO address. I felt confident that this would be the final solution to getting the proceeds to XXXX, however, today is XX/XX/2017 and the loan still shows way too far past due. We simply want to pay off this account. I am concerned about any credit bureau repercussions as a result. We planned way far enough in advance to get this loan paid off. This has been going on since XX/XX/2017 ... Can you please intervene and help get this issue resolved? 
The CFPB responded on XX/XX/2017 with this : XXXX received your payment of {$1900.00} dated XX/XX/2017. This payment cleared any delinquency on your account. We are able to confirm no negative delinquency information has been reported to the credit bureaus by XXXX. However, we are unable to honor your requested payoff amount of {$1900.00} from XX/XX/2017, since the delay in receipt of your intital XX/XX/2017 payment and the payment dated XX/XX/2017 were not due to any error on our part. Interest continues to accrue on a loan balance in repayment until a payment is received and processed. As per our telephone conversation on XX/XX/2017 we have waived the remaining late fees as a one-time courtesy. With your payment of {$14.00} dated XX/XX/2017 your account is now showing as paid in full. You should shortly receive a "" Paid in Full '' letter, indicating you no longer owe any money for these loans. 
I am simply making this public for all to read that XXXX intentionally kept putting me off with the numerous phone calls that I made though out this nightmare ... They kept telling me, do n't worry, we 'll find the payment, this happens all the time, .... When in reality, they were saying, we are glad to let the loan you took out from your Credit Union accrue interest as well as continue to charge interest on our loan. They were not interested in helping me solve my frustration, they simply turned out to be greedy. They proudly waived the late fees that should not have been assessed in the first place ... how generous on their part. The {$14.00} in interest I had to pay to avoid reprisal is a slap in my face. The subordinates at XXXX actually were very kind, but clueless. I finally asked to speak to a manager and was directed to XXXX who treated me with utter disdain, contempt and was blatantly rude and unsympathetic. He is a poor excuse of an employee and needs to be taught by his subordinates how to provide customer service. I paid the amount of {$14.00}, because I was strong armed and threatened by the manager that if I did n't agree that he would go back on XXXX 's word and charge the entire amount. He even threatened to disconnect the call, because he is XXXX. I would highly recommend anyone reading this to avoid dealing with XXXX",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Utah System of Higher Education,UT,840XX,,Consent provided,Web,04/10/2017,Closed with explanation,Yes,No,2425496
1/25/13,Mortgage,Other mortgage,Credit decision / Underwriting,,,,JPMORGAN CHASE & CO.,CA,90033,,N/A,Postal mail,1/25/13,Closed with explanation,Yes,No,264094
12/26/16,Debt collection,Medical,Improper contact or sharing of info,Talked to a third party about my debt,My medical information was shared with a 3rd party collection agency and sold which in all goes against HIPPA rules.,,"OPTIMUM OUTCOMES, INC.",GA,303XX,,Consent provided,Web,12/26/16,Closed with explanation,Yes,No,2263981
11/03/2016,Credit reporting,,Credit reporting company's investigation,Inadequate help over the phone,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,MS,38703,,Consent not provided,Web,11/03/2016,Closed with explanation,Yes,No,2192415
8/21/14,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,OCWEN LOAN SERVICING LLC,OH,43025,Older American,N/A,Web,8/21/14,Closed with monetary relief,Yes,No,995773
7/30/14,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,JPMORGAN CHASE & CO.,FL,33054,,N/A,Referral,08/01/2014,Closed with explanation,Yes,No,962364
08/04/2016,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,NATIONSTAR MORTGAGE,NY,13760,,N/A,Referral,08/11/2016,Closed with explanation,Yes,No,2047007
03/04/2014,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Ditech Financial LLC,MI,48187,,N/A,Web,03/03/2014,Closed with explanation,Yes,No,741473
03/12/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Right to dispute notice not received,,,ERC,IA,50266,Servicemember,N/A,Web,03/12/2015,Closed with non-monetary relief,Yes,No,1279344
