Date received,Product,Sub-product,Issue,Sub-issue,Consumer Complaint,Company Public Response,Company,State,ZIP code,Tags,Consumer consent provided?,Submitted via,Date Sent to Company,Company Response to Consumer,Timely response?,Consumer disputed?,Complaint ID
03/12/2014,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,M&T BANK CORPORATION,MI,48382,,N/A,Referral,3/17/14,Closed with explanation,Yes,No,759217
10/01/2016,Credit reporting,,Incorrect information on credit report,Account status,I have outdated information on my credit report that I have previously disputed that has yet to be removed this information is more then seven years old and does not meet credit reporting requirements,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"TRANSUNION INTERMEDIATE HOLDINGS, INC.",AL,352XX,,Consent provided,Web,10/05/2016,Closed with explanation,Yes,No,2141773
10/17/16,Consumer Loan,Vehicle loan,Managing the loan or lease,,"I purchased a new car on XXXX XXXX. The car dealer called Citizens Bank to get a 10 day payoff on my loan, good till XXXX XXXX. The dealer sent the check the next day. When I balanced my checkbook on XXXX XXXX. I noticed that Citizens bank had taken the automatic payment out of my checking account at XXXX XXXX XXXX Bank. I called Citizens and they stated that they did not close the loan until XXXX XXXX. ( stating that they did not receive the check until XXXX. XXXX. ). I told them that I did not believe that the check took that long to arrive. XXXX told me a check was issued to me for the amount overpaid, they deducted additional interest. Today ( XXXX XXXX, ) I called Citizens Bank again and talked to a supervisor named XXXX, because on XXXX XXXX. I received a letter that the loan had been paid in full ( dated XXXX, XXXX ) but no refund check was included. XXXX stated that they hold any over payment for 10 business days after the loan was satisfied and that my check would be mailed out on Wed. the XX/XX/XXXX.. I questioned her about the delay in posting the dealer payment and she first stated that sometimes it takes 3 or 4 business days to post, then she said they did not receive the check till XXXX XXXX I again told her that I did not believe this and asked where is my money. She then stated that they hold the over payment for 10 business days. I asked her why, and she simply said that is their policy. I asked her if I would receive interest on my money and she stated no. I believe that Citizens bank is deliberately delaying the posting of payment and the return of consumer 's money to make additional interest for the bank. If this is not illegal it should be, it does hurt the consumer and is not ethical. My amount of money lost is minimal but if they are doing this on thousands of car loans a month, then the additional interest earned for them could be staggering. I still have another car loan from Citizens Bank and I am afraid when I trade that car in another year I will run into the same problem again.",,"CITIZENS FINANCIAL GROUP, INC.",PA,177XX,Older American,Consent provided,Web,10/20/16,Closed with explanation,Yes,No,2163100
06/08/2014,Credit card,,Bankruptcy,,,,AMERICAN EXPRESS COMPANY,ID,83854,Older American,N/A,Web,06/10/2014,Closed with explanation,Yes,Yes,885638
9/13/14,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,,,"CITIBANK, N.A.",VA,23233,,N/A,Web,9/13/14,Closed with explanation,Yes,Yes,1027760
11/13/13,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,U.S. BANCORP,MN,48322,,N/A,Phone,11/20/13,Closed with monetary relief,Yes,No,596562
6/16/15,Debt collection,Medical,Improper contact or sharing of info,Contacted employer after asked not to,,Company believes it acted appropriately as authorized by contract or law,California Accounts Service,CA,92111,,Consent not provided,Web,6/19/15,Closed with explanation,Yes,No,1422680
6/15/15,Credit reporting,,Credit reporting company's investigation,Inadequate help over the phone,"An account on my credit report has a mistaken date. I mailed in a debt validation letter to allow XXXX to correct the information. I received a letter in the mail, stating that Experian received my correspondence and found it to be "" suspicious '' and that "" I did n't write it ''. Experian 's letter is worded to imply that I am incapable of writing my own letter. I was deeply offended by this implication. 
I called Experian to figure out why my letter was so suspicious. I spoke to a representative who was incredibly unhelpful, She did not effectively answer any questions I asked of her, and she kept ignoring what I was saying regarding the offensive letter and my dispute process. I feel the representative did what she wanted to do, and I am not satisfied. It is STILL not clear to me why I received this letter. I typed this letter, I signed this letter, and I paid to mail this letter, yet Experian willfully disregarded my lawful request. 
I am disgusted with this entire situation, and I would like for my dispute to be handled appropriately, and I would like for an Experian representative to contact me and give me a real explanation for this letter.",Company chooses not to provide a public response,Experian Information Solutions Inc.,VA,224XX,,Consent provided,Web,6/15/15,Closed with explanation,Yes,No,1420702
11/13/15,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company believes it acted appropriately as authorized by contract or law,"Aldridge Pite, LLP",CA,93101,,N/A,Referral,12/10/2015,Closed with explanation,Yes,Yes,1654890
10/21/14,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,OCWEN LOAN SERVICING LLC,FL,32714,Older American,N/A,Web,10/21/14,Closed with explanation,Yes,No,1079567
4/14/17,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company believes it acted appropriately as authorized by contract or law,"Shellpoint Partners, LLC",CA,90305,,N/A,Referral,4/14/17,Closed with explanation,Yes,No,2436165
3/30/12,Student loan,Non-federal student loan,Repaying your loan,,,,Student Loan Finance Corporation,MN,55428,,N/A,Web,07/12/2012,Closed with explanation,Yes,No,42864
02/03/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Disclosure verification of debt,Not given enough info to verify debt,This company refuses to provide me verification and validation of debt per my right under the FDCPA. I do not believe this debt is mine.,,"The CBE Group, Inc.",TX,752XX,,Consent provided,Web,02/03/2016,Closed with explanation,Yes,Yes,1772196
01/07/2015,Credit reporting,,Incorrect information on credit report,Account status,,,Experian Information Solutions Inc.,NV,89169,,N/A,Referral,1/23/15,Closed with explanation,Yes,Yes,1184859
3/15/13,Credit card,,Closing/Cancelling account,,,,FIRST NATIONAL BANK OF OMAHA,NY,11732,,N/A,Referral,3/18/13,Closed with explanation,Yes,No,357186
7/18/16,Credit reporting,,Incorrect information on credit report,Account status,,,"EQUIFAX, INC.",FL,33629,,N/A,Fax,7/19/16,Closed with explanation,Yes,No,2017178
2/17/16,Debt collection,Credit card,Improper contact or sharing of info,Talked to a third party about my debt,"This complaint is in regards to Square Two Financial. Refer to CFPB case number XXXX regarding CACH, L. L. C. Square Two Financial has utilized my entire social security number to include date of birth on the pfd document listed with this complaint. The initial complaint was with CACH, L. L. C. and not Square Two Financial. This is in breach of the following : 1. Identity Theft Assumption and Deterrence Act of XXXX 2. Privacy Act of XXXX XXXX. Social Security XXXX 4. XXXX Privacy Act-which carries a maximum XXXX fine for each calendar cap year. 
5. Breach of Title XXXX, XXXX XXXX XXXX XXXX under XXXX and XXXX The solution is to have CACH, L.L.C handle this correction and not Square Two Financial. Two Square Financial submitted the XXXX XXXX XXXX with their subscriber name on the form listed on CFPB case # XXXX they are rendered liable in this matter. In addition, there is an account number associated with this Universal Data Form and they could use that account number instead of a SSN and DOB which is against XXXX XXXX XXXX This is also includes removal of the XXXX XXXX Form off of CFPB case # XXXX listed as a pdf document attached to this case number. Square Two Financial was contacted at XXXXXXXXXXXX as of XXXX/XXXX/XXXX by e-mail in regards to this matter. In addition, all of my information is not for sale and distribution via fax, fax-scanned, copied, stored in a retrieval system, recorded, transmitted digitally or electronically without my expressed written consent. This information is protected under copyright and publishing laws of XXXX XXXX and XXXX XXXX. This information is protected under the XXXX XXXX XXXX XXXX XXXX under the freedom of speech under XXXX XXXX XXXX to include the Uniform Commercial Codes XXXX and XXXX. These rights are reserved world wide.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,SQUARETWO FINANCIAL CORPORATION,NE,693XX,,Consent provided,Web,03/04/2016,Closed with explanation,Yes,Yes,1790634
11/07/2014,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,U.S. BANCORP,MT,59801,,N/A,Web,11/07/2014,Closed with explanation,Yes,No,1107428
4/17/15,Mortgage,FHA mortgage,"Application, originator, mortgage broker",,,,WELLS FARGO & COMPANY,ME,4032,,Consent not provided,Web,4/17/15,Closed with explanation,Yes,No,1334421
03/09/2016,Credit reporting,,Incorrect information on credit report,Information is not mine,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,CA,92703,,N/A,Phone,03/09/2016,Closed with explanation,Yes,No,1823789
02/04/2015,Debt collection,Mortgage,Cont'd attempts collect debt not owed,Debt was paid,,,PHH Mortgage Services Corporation,CA,92021,,N/A,Web,02/10/2015,Closed with explanation,Yes,Yes,1224106
3/17/17,Bank account or service,Checking account,"Making/receiving payments, sending money",,,Company believes it acted appropriately as authorized by contract or law,UNITED SERVICES AUTOMOBILE ASSOCIATION,WI,54005,,N/A,Referral,3/20/17,Closed with explanation,Yes,No,2393048
03/08/2012,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,Ditech Financial LLC,CA,95361,,N/A,Web,3/23/12,Closed without relief,Yes,No,32412
3/27/13,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,NATIONSTAR MORTGAGE,WA,98203,,N/A,Web,3/27/13,Closed with explanation,Yes,No,366548
2/25/14,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,,"Navient Solutions, LLC.",RI,2906,,N/A,Web,2/24/14,Closed with explanation,Yes,Yes,730165
11/18/16,Mortgage,Conventional fixed mortgage,Settlement process and costs,,"Started the refinance of home mortgage process with cash out option on XX/XX/2016. Necessary documents were submitted by XXXX. After initial review, got good faith estimate with loan amount and closing cost. Based on this estimate, a deposit of {$350.00} was made towards appraisal. Appraisal came with lesser amount by {$5000.00}. Agreed to reduce the loan amount to that extent. However, got a revised estimate which was less by {$30000.00} and with additional closing cost towards points etc. In between got numerous revised estimates with different loan amounts and closing cost. It took more than 2 months to reach any definite closing document. Hence, want to get back the deposit of {$350.00}.",,AMERICAN NEIGHBORHOOD MORTGAGE,NJ,088XX,,Consent provided,Web,11/21/16,Closed with monetary relief,No,No,2216206
7/16/15,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,"In XXXX, I and my ex-husband applied for a refinance & HELOC from Beneficial. The loans were granted. My ex-husband passed away XXXX XXXX. At this time I contacted a lawyer to determine my options for having my husband removed from the title to the property and mortgage. Lawyer took care of having husband removed from the title. I recently attempted to apply for refinance to remove him from the mortgage and take cash out. I learned through an attempt to refinance I was unable to refinance the property due to there is no deed from XXXX found indicating my interest in the property. The only deed filed with the XXXX County Illinois Recorder was in XXXX with the original purchase of the home in which my ex-husband was the only one listed on the deed. Beneficial did file a mortgage on XXXX, XXXX on the property. I am just outraged at this point that I took out a loan on my home, yet it was never deeded in my name as one of the rightful owners. Now I am being denied the ability to refinance at this time because I can not show that I was the rightful owner of this property prior to XXXX/XXXX/XXXX when my children quit claimed their fathers interest to me. I am just sick of this company and the way this company misleads and XXXX over customers. I am technically being forced to remain with this company because I can not secure financing with another reputable company because I have to wait anywhere from 6 - 12months to refinance, because the property I have owned for over 20 years and paying on for over 20years is considered inheritance since it was just quit claimed to me XXXX/XXXX/XXXX.",,HSBC NORTH AMERICA HOLDINGS INC.,IL,625XX,,Consent provided,Web,7/16/15,Closed with explanation,Yes,No,1472017
11/03/2015,Debt collection,Medical,Disclosure verification of debt,Right to dispute notice not received,,Company chooses not to provide a public response,Revenue Recovery Corporation,FL,34105,,N/A,Postal mail,11/04/2015,Closed with explanation,Yes,No,1637385
08/09/2016,Credit reporting,,Credit reporting company's investigation,Problem with statement of dispute,"I have disputed several accounts on my credit report with Equifax several times. I first disputed with the original creditors, XXXX, XXXX XXXX, and XXXX XXXX Solutions and after 3 letters did not receive any correspondence with proof. I sent copies of the letters and certified mail receipts to the credit bureau but they continue to verify these debts without copies of any proof with my signature. A statement of dispute was also never put on my credit report. Equifax only continues to update the accounts associated with these creditors.",,"EQUIFAX, INC.",MS,390XX,,Consent provided,Web,08/09/2016,Closed with explanation,Yes,Yes,2051099
4/27/16,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,"Mortgage was transferred to Nationstar as of XXXX/XXXX/XXXX. Since then our payments are not posted in a timely manner or for the amount sent. 
for example payment cleared our bank on XXXX/XXXX/XXXX for XXXX per the payment history received from Nationstar the payment was not posted until XXXX/XXXX/XXXX and only for amount of XXXX. 
payment cleared our bank on XXXX/XXXX/XXXX for XXXX but was not posted to our account until XXXX/XXXX/XXXX and only for amount XXXX When our loan was transferred to Nationstar from XXXX we only received a good by letter from XXXX but no welcome package from Nationstar. So had to contact them to make sure the payment amount was the same as XXXX. I was told it was the same so that is what we are sending but they are only posting XXXX Have to call every month to get a payment history as they will not allow use of the website. Try to get information several times as to why it takes so long to post the money and why it is less than we sent. sent them the exact same documents attached and all they will state is they have no record of sending me the history every month and they are posting the money for what we sent. Have been unable to resolve the issue with Nationstar as they are not willing to listen or review the documents I sent to them as proof of what they sent me. Have been calling them every month since XXXX XXXX to get a payment history but they deny sending it each month.",,NATIONSTAR MORTGAGE,CA,954XX,,Consent provided,Web,4/27/16,Closed with explanation,Yes,Yes,1898476
9/17/14,Credit card,,Delinquent account,,,,WELLS FARGO & COMPANY,OH,43062,Servicemember,N/A,Web,9/17/14,Closed with explanation,Yes,No,1033355
10/11/2016,Mortgage,VA mortgage,"Loan servicing, payments, escrow account",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,FREEDOM MORTGAGE COMPANY,GA,31201,,N/A,Postal mail,10/13/16,Closed with explanation,Yes,No,2155899
6/24/15,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,Company chooses not to provide a public response,ALLY FINANCIAL INC.,CA,95205,,N/A,Referral,6/25/15,Closed with explanation,Yes,No,1436293
3/31/17,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"MUFG UNION BANK, NATIONAL ASSOCIATION",CA,92026,,Consent not provided,Web,3/31/17,Closed with explanation,Yes,No,2411860
9/19/13,Mortgage,FHA mortgage,"Loan servicing, payments, escrow account",,,,OCWEN LOAN SERVICING LLC,TX,75904,Servicemember,N/A,Web,9/19/13,Closed with explanation,Yes,Yes,533820
3/23/16,Credit reporting,,Incorrect information on credit report,Account status,,,"EQUIFAX, INC.",MD,21224,Older American,N/A,Referral,4/18/16,Closed with explanation,Yes,No,1846988
2/28/17,Credit card,,Other fee,,"Was a happy XXXX card member for years, in late XX/XX/2016 XXXX converted the card portfolio to Barclaycard ( XXXX ). We almost never carry a balance over, but we started to in XX/XX/XXXX and Barclay has been overcharging the interest expense every month. Instead of charging interest on the carried balance they charged it on the entire average balance. So if we charged {$3000.00} last month and carried {$3000.00} from previous months then they charged us 15 % of the {$6000.00} = {$75.00}, should have been {$37.00} in interest charges. They are double dipping, getting the interchange fee ( 1.5 % of purchase, equal to an 18 % apr ), plus they are getting the interest on the purchases at 15 %, that is the equivalent of an 33 % interest charge. 
I feel this practice is very unethical, if not illegal. We converted, not by our choice, from XXXX to Barclaycard MasterCard, so if we leave we lose all the points we acquired in previous years. Completely unfair and is why the big financials have the hated reputation they have now. Hope you folks over there can investigate.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,BARCLAYS BANK DELAWARE,MA,027XX,,Consent provided,Web,2/28/17,Closed with explanation,Yes,Yes,2364257
07/11/2014,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"EQUIFAX, INC.",SC,29673,,N/A,Web,07/11/2014,Closed with explanation,Yes,Yes,934381
6/19/12,Student loan,Non-federal student loan,Repaying your loan,,,,"Navient Solutions, LLC.",CO,80214,,N/A,Web,6/21/12,Closed with monetary relief,Yes,No,104285
09/02/2016,Credit card,,Late fee,,,,JPMORGAN CHASE & CO.,NE,69341,Servicemember,Consent not provided,Web,09/02/2016,Closed with explanation,Yes,No,2092228
06/05/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,WELLS FARGO & COMPANY,CO,80503,,N/A,Web,06/06/2013,Closed with explanation,Yes,Yes,425606
05/08/2012,Bank account or service,Checking account,"Account opening, closing, or management",,,,WELLS FARGO & COMPANY,SD,57103,,N/A,Web,05/10/2012,Closed without relief,Yes,No,73144
7/25/14,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",MI,49441,,N/A,Web,7/25/14,Closed with explanation,Yes,No,953726
2/18/17,Credit card,,Credit line increase/decrease,,"Without provocation, I received notice that my credit line was being decreased by nearly 100 %. My available credit was reduced from $ XXXX to XXXX ( the rough amount of my available balance ). 

When I called to question the change, I was provided a nob-descript response referencing my XXXX report. It was my understanding that under the FCRA I was entitled to a copy of this report, but was refused by Citi and have been given no further explanation. 

This is predatory in that it affects my utilization of credit, further subjecting me to increase in APrs, etc and a higher cost of credit without any reason.",Company has responded to the consumer and the CFPB and chooses not to provide a public response,"CITIBANK, N.A.",IL,606XX,,Consent provided,Web,2/18/17,Closed with explanation,Yes,No,2349987
10/10/2014,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,JPMORGAN CHASE & CO.,MI,48154,,N/A,Web,10/10/2014,Closed with explanation,Yes,Yes,1067722
12/28/16,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,"Seterus, Inc.",CA,94539,,Consent not provided,Web,12/28/16,Closed with explanation,Yes,No,2264069
4/21/17,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,OCWEN LOAN SERVICING LLC,ME,4901,,Consent not provided,Web,4/21/17,Closed with explanation,Yes,No,2446404
11/08/2016,Credit card,,Identity theft / Fraud / Embezzlement,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,SYNCHRONY FINANCIAL,OH,43953,,Consent not provided,Web,11/08/2016,Closed with non-monetary relief,Yes,No,2199687
03/04/2013,Bank account or service,Checking account,Deposits and withdrawals,,,,WELLS FARGO & COMPANY,MN,55448,,N/A,Referral,03/05/2013,Closed with explanation,Yes,No,339038
7/16/15,Debt collection,Credit card,Taking/threatening an illegal action,Sued w/o proper notification of suit,"I am writing to request your assistance in looking into the deceptive practices of this collection law-firm above. It appears that they are using tactics that may be violating consumer protection law in debt collection practices depriving consumers of their rights to dispute. 

1 In XXXX XXXX, I received a notice from the above company, The next day, I contacted their offices as instructed -- the memo dated XXXX/XXXX/XXXX instruct me to contact the plaintiff attorney, not the court. I followed the instructions provided and contacted the plaintiff attorney by phone and also faxed a letter on XXXX/XXXX/XXXX disputing the debt ( see letter ). 

2. The company responded with a letter dated XXXX/XXXX/XXXX by sending me a bill with a due date for XXXX. I had requested a bill showing what my balance was back when I made a payment back in XXXX XXXX for {$100.00}. I was disputing the amount owed, disputing the charges. 

3. I wrote back to the company and faxed another dispute letter on XXXX XXXX, XXXX continue to dispute the amount owed. 

4. The company sent me a response on XXXX/XXXX/XXXX saying that they furnished me the information, I was not disputing that I owe XXXX XXXX, I was disputing that the balance was inaccurate and that I needed proof of the last known charges and activity on the account which was XXXX XXXX. In the last paragraph of their letter it indicated that if I was disputing the amount to send a letter and so on.. 

5. On XXXX XXXX, XXXX -- I sent another letter to the company disputing the balance and requesting the documents again. 

The company never responded to my XXXX XXXX letter, they since had not communication with me, until XXXX XXXX XXXX when I received a letter from them with a copy of a DEFAULT judgment that they filed the court clerk 's office indicating that I failed to respond to their judgment. 

Facts:1. The only judgment that the above firm served me with was the original judgment which I am attaching dispute letters showing that I RESPONDED as instructed to their office on XXXX different occasions. 
2. The plaintiff failed to respond to my dispute and furnish the information provided-and was probably unable to obtain proof of the original of the debt3. Instead of using credible legal procedure to settle the debts, they utilized unfaithful and dirty tactics, violated my rights. 
4. Went to the court, committed perjury under the law by filing false documents with the court that I defaulted on the judgment and failed to respond when in fact I responded and they failed to furnish proof. 
5. I went the court house and the clerk 's office, I was told that the company did not notify their offices that they had been in contact with me, instead they the company told the court and clerk 's office that I did not respond to their summons the the clerks office granted them the default judgement based on their false information that I did not respond to their summons. They filed a false affirmation with the clerk 's office.",Company chooses not to provide a public response,"Selip & Stylianou, LLP",NY,109XX,,Consent provided,Web,7/22/15,Closed with explanation,Yes,No,1471125
04/04/2014,Bank account or service,Checking account,"Making/receiving payments, sending money",,,,WHITNEY BANK - NEW ORLEANS MAIN BRANCH,LA,70003,,N/A,Referral,04/08/2014,Closed with explanation,Yes,Yes,794050
3/14/16,Debt collection,Medical,Communication tactics,Frequent or repeated calls,,Company can't verify or dispute the facts in the complaint,"HOVG, LLC",OR,97217,,N/A,Referral,3/17/16,Closed with explanation,Yes,Yes,1831871
11/15/12,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"CITIBANK, N.A.",CA,94580,,N/A,Referral,11/19/12,Closed with explanation,Yes,No,192496
6/16/16,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,IA,50220,,Consent not provided,Web,6/16/16,Closed with explanation,Yes,No,1970545
1/17/15,Debt collection,"Other (i.e. phone, health club, etc.)",False statements or representation,Attempted to collect wrong amount,,,"CAINE & WEINER COMPANY, INC.",TX,75070,,N/A,Web,1/17/15,Closed with explanation,Yes,No,1198024
4/23/13,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,,,"BANK OF AMERICA, NATIONAL ASSOCIATION",GA,30047,,N/A,Web,4/25/13,Closed with explanation,Yes,No,389461
9/23/15,Credit reporting,,Incorrect information on credit report,Information is not mine,,,"EQUIFAX, INC.",TX,79778,,Consent not provided,Web,9/23/15,Closed with explanation,Yes,No,1576186
10/14/16,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,WELLS FARGO & COMPANY,TX,75751,,N/A,Referral,10/19/16,Closed with explanation,Yes,Yes,2161728
11/28/14,Credit card,,Closing/Cancelling account,,,,"CITIBANK, N.A.",MS,38652,,N/A,Postal mail,12/04/2014,Closed with explanation,Yes,No,1135236
3/21/16,Bank account or service,Checking account,Problems caused by my funds being low,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",NJ,7604,,Consent not provided,Web,3/21/16,Closed with monetary relief,Yes,Yes,1841482
04/06/2017,Credit card,,Other fee,,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,BARCLAYS BANK DELAWARE,VA,22315,Servicemember,Consent not provided,Web,04/06/2017,Closed with explanation,Yes,No,2423410
04/11/2016,Credit reporting,,Incorrect information on credit report,Information is not mine,I am disputing the inaccurate information the Chex-Systems has on my credit report. I initially submitted a police report on XXXX/XXXX/16 and Chex Systems only deleted the items that I mentioned in the letter and not all the items that were actually listed on the police report. In other words they wanted me to say word for word to them what items were fraudulent. The total disregard of the police report and what accounts that it states that are fraudulent. If they just had paid a little closer attention to the police report I would not been in this position now and they would n't have to research once again. I would like the reported information to be removed : XXXX XXXX XXXX,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"Fidelity National Information Services, Inc. (FNIS)",NJ,070XX,,Consent provided,Web,04/11/2016,Closed with explanation,Yes,No,1874755
8/13/15,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,,,Specialized Loan Servicing LLC,CA,92101,,Other,Web,8/14/15,Closed with explanation,Yes,No,1516722
4/24/13,Bank account or service,Checking account,Deposits and withdrawals,,,,JPMORGAN CHASE & CO.,NY,11701,,N/A,Web,4/25/13,Closed with explanation,Yes,No,390390
02/03/2017,Credit reporting,,Incorrect information on credit report,Account status,"Checked my credit report after filing complaint with CFPB on XXXX. Was finally able to get access to the dispute forms and the XXXX XXXX account scheduled for deletion XX/XX/XXXX2017 was still on record. After already registering with my report number, name and social security and placing the dispute in the "" dispute cart '', when I attempted to upload as instructed, I was taken to another form which requested the same ( and more ) information which was already a matter of record in order to get access to the report in the first place. Screenshots attached. Designed to discourage?",Company has responded to the consumer and the CFPB and chooses not to provide a public response,Experian Information Solutions Inc.,NY,116XX,"Older American, Servicemember",Consent provided,Web,02/03/2017,Closed with non-monetary relief,Yes,No,2327502
7/28/14,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"SELECT PORTFOLIO SERVICING, INC.",SC,29063,,N/A,Fax,08/01/2014,Closed with explanation,Yes,Yes,957559
11/14/13,Consumer Loan,Vehicle loan,Managing the loan or lease,,,,JPMORGAN CHASE & CO.,RI,2840,,N/A,Web,11/18/13,Closed with monetary relief,Yes,No,598206
05/02/2016,Student loan,Federal student loan servicing,Dealing with my lender or servicer,Don't agree with fees charged,,,AES/PHEAA,GA,30518,Servicemember,Consent not provided,Web,05/02/2016,Closed with non-monetary relief,Yes,No,1904547
01/04/2013,Credit card,,Billing disputes,,,,"CITIBANK, N.A.",IN,47586,,N/A,Referral,01/07/2013,Closed with explanation,Yes,No,223071
6/30/16,Mortgage,Conventional fixed mortgage,Credit decision / Underwriting,,Need to move into a XXXX facility. Can no longer afford to pay this morthage. Would like to have what monies I 've paid in marked off as paid in full.,,"VANDERBILT MORTGAGE & FINANCE, INC",GA,300XX,Older American,Consent provided,Web,07/01/2016,Closed with explanation,Yes,No,1992309
07/08/2014,Mortgage,Conventional adjustable mortgage (ARM),"Loan servicing, payments, escrow account",,,,Ditech Financial LLC,MD,20883,,N/A,Web,07/08/2014,Closed with explanation,Yes,No,927254
08/10/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,,,CAPITAL ONE FINANCIAL CORPORATION,CA,96701,,N/A,Web,8/13/13,Closed with explanation,Yes,No,486251
03/04/2014,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,,,OCWEN LOAN SERVICING LLC,NJ,7724,Older American,N/A,Web,03/04/2014,Closed with explanation,Yes,No,743072
04/06/2016,Bank account or service,Other bank product/service,"Account opening, closing, or management",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"BANK OF AMERICA, NATIONAL ASSOCIATION",LA,70129,,Consent not provided,Web,04/06/2016,Closed with explanation,Yes,Yes,1866334
7/14/16,Debt collection,Mortgage,Disclosure verification of debt,Not given enough info to verify debt,,Company believes it acted appropriately as authorized by contract or law,"SELECT PORTFOLIO SERVICING, INC.",MA,2468,,N/A,Postal mail,7/15/16,Closed with explanation,Yes,No,2012532
04/01/2014,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,"SUNTRUST BANKS, INC.",GA,30067,Older American,N/A,Referral,04/04/2014,Closed with explanation,Yes,No,788851
09/04/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Communication tactics,Called after sent written cease of comm,,,Alorica Inc.,IN,468XX,,Other,Web,09/06/2016,Closed with explanation,Yes,Yes,2095531
12/02/2014,Mortgage,FHA mortgage,"Loan modification,collection,foreclosure",,,,U.S. BANCORP,NC,28401,,N/A,Web,12/02/2014,Closed with explanation,Yes,No,1138195
2/18/16,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,,Company believes it acted appropriately as authorized by contract or law,"Pinnacle Credit Services, LLC",NY,11103,,Consent not provided,Web,2/22/16,Closed with explanation,Yes,Yes,1790661
11/18/13,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,,JPMORGAN CHASE & CO.,TN,37075,,N/A,Postal mail,11/19/13,Closed with explanation,Yes,No,602465
02/11/2017,Credit reporting,,Incorrect information on credit report,Information is not mine,I attempted to open a XXXX XXXX account on XXXX XXXX 2017 and I was unable to due to misinformation on my credit report. They advised me to resolve the issue by disputing this information that is not mine and I am doing so. I also would like to say I had been a victim of consumer fraud and want to be issued protection from others being able to access my information for their own personal gain. I am in a position in which I can not even open an account because of this fradulent act against me and I need to recieve proper treatment.,,"EARLY WARNING SERVICES, LLC",CA,900XX,,Consent provided,Web,2/15/17,Closed with explanation,Yes,Yes,2340027
1/29/12,Mortgage,Other mortgage,"Application, originator, mortgage broker",,,,"QUICKEN LOANS, INC.",CA,92201,,N/A,Web,2/28/12,Closed with relief,Yes,Yes,18253
4/26/16,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,,Company has responded to the consumer and the CFPB and chooses not to provide a public response,"SUNTRUST BANKS, INC.",NC,28428,,N/A,Referral,4/28/16,Closed with explanation,Yes,No,1896727
